strategy,dimension,category,count,percentage,s0_percentage,delta_percentage_points
S1_REVIEWED,classes,PIETRA,6034,17.12,17.11,0.01
S1_REVIEWED,classes,Vide,12724,36.09,36.1,-0.01
S1_REVIEWED,years,2025,20266,57.49,57.49,0.0
S1_REVIEWED,years,2026,14988,42.51,42.51,0.0
S1_REVIEWED,positions,B,18189,51.59,51.59,0.0
S1_REVIEWED,positions,T,17065,48.41,48.41,0.0
S1_REVIEWED,cameras,1,5811,16.48,16.48,0.0
S1_REVIEWED,cameras,2,5953,16.89,16.89,0.0
S1_REVIEWED,cameras,3,6157,17.46,17.46,0.0
S1_REVIEWED,cameras,4,5792,16.43,16.43,0.0
S1_REVIEWED,cameras,5,5913,16.77,16.77,0.0
S1_REVIEWED,cameras,6,5628,15.96,15.96,0.0
S1_REVIEWED,historical_tb,complete_pairs,16176,,,
S1_REVIEWED,historical_tb,partial_pairs,0,,,
S1_REVIEWED,historical_tb,fully_removed_pairs,0,,,
S1_REVIEWED,historical_tb,complete_pairs_same_label_principal,10714,,,
S1_REVIEWED,historical_tb,complete_pairs_different_label_principal,5462,,,
