threshold,precision_conforme,recall_conforme,f1_conforme,non_conforme_to_conforme,pietra_to_conforme,false_conforme_total,conforme_rejected,accuracy,macro_f1,precision_shortfall,recall_shortfall,distance_to_objectives
0.82,0.928068803752932,0.7304615384615385,0.8174931129476584,23,66,89,438,0.8502552467385139,0.8248684521718055,0.021931196247067963,0.11953846153846148,0.1215336215037207
0.83,0.9295328582739509,0.7224615384615385,0.8130193905817175,23,63,86,451,0.8483645301569295,0.8230030039877805,0.02046714172604902,0.1275384615384615,0.12917028707110548
0.84,0.9304,0.7156923076923077,0.8090434782608695,22,62,84,462,0.8466628852335035,0.8213125613056163,0.01959999999999995,0.13430769230769224,0.13573030690681331
0.85,0.9319286871961102,0.7076923076923077,0.8044770898915705,21,60,81,475,0.8445830969937607,0.8193121338290834,0.01807131280388974,0.14230769230769225,0.14345051981919354
0.86,0.9367296631059984,0.7015384615384616,0.8022519352568613,19,55,74,485,0.8438268103611268,0.8188435628597426,0.013270336894001589,0.14846153846153842,0.14905344760738395
0.87,0.9395973154362416,0.6892307692307692,0.7951721689740859,19,51,70,505,0.8406125921724333,0.8156841831858639,0.010402684563758369,0.16076923076923078,0.16110543568813324
0.88,0.9425385934819898,0.6763076923076923,0.7875313507703332,18,47,65,526,0.8375874456418982,0.8128521893108798,0.007461406518010194,0.1736923076923077,0.17385249592314256
0.89,0.9440069991251093,0.664,0.7796242774566474,18,44,62,546,0.8343732274532047,0.8095617131727983,0.0059930008748906305,0.18599999999999994,0.18609652350188174
0.9,0.9497307001795332,0.6510769230769231,0.7725447243519533,18,36,54,567,0.8315371525808282,0.8068587474654473,0.0002692998204667507,0.19892307692307687,0.19892325921052487
0.91,0.953081876724931,0.6375384615384615,0.7640117994100295,18,31,49,589,0.8283229343921347,0.8036787997299547,0.0,0.21246153846153848,0.21246153846153848
0.92,0.9553656220322887,0.6190769230769231,0.7513069454817027,15,30,45,619,0.8232179996218567,0.79872266265997,0.0,0.2309230769230769,0.2309230769230769
0.93,0.9599217986314761,0.6043076923076923,0.7416918429003021,15,24,39,643,0.8198147097750047,0.7952070531373584,0.0,0.24569230769230765,0.24569230769230765
0.94,0.9633774160732451,0.5827692307692308,0.7262269938650306,12,22,34,678,0.8137644167139346,0.7890259329979669,0.0,0.26723076923076916,0.26723076923076916
0.95,0.9648936170212766,0.5581538461538461,0.7072124756335283,12,19,31,718,0.8067687653620722,0.7818767900121838,0.0,0.29184615384615387,0.29184615384615387
0.96,0.9707536557930259,0.5310769230769231,0.6865552903739062,9,15,24,762,0.799394970693893,0.7739882498195642,0.0,0.31892307692307686,0.31892307692307686
0.97,0.9756986634264885,0.49415384615384617,0.6560457516339869,5,13,18,822,0.7886178861788617,0.7625258964555229,0.0,0.3558461538461538,0.3558461538461538
0.98,0.9851150202976996,0.448,0.6159052453468697,4,7,11,897,0.7753828701077708,0.7478621713951928,0.0,0.40199999999999997,0.40199999999999997
0.99,0.9921011058451816,0.38646153846153847,0.5562444641275465,2,3,5,997,0.7574210625827188,0.7274966498398121,0.0,0.4635384615384615,0.4635384615384615
